round,date,place,author,title,filename
1,2006-04-14,1st,Sonicade,"Reon Kadence","sdc1_Sonicade-Reon_Kadence.rar"
1,2006-04-14,2nd,Chotoro,"The Mellow Monster","sdc1_Chotoro-The_Mellow_monster.zip"
1,2006-04-14,3rd,waterhead,"Artificial Assumptions","sdc1_w473rh34d-artificial_assumptions.rar"
1,2006-04-14,4th,imode,"saihakken","sdc1_Imode-Saihakken.rar"
1,2006-04-14,5th,drye,"All Dryed Up","sdc1_Drye_All_Dryed_Up.zip"
1,2006-04-14,6th,Harmony,"Apple Juice","sdc1_Harmony-Apple_Juice.zip"
1,2006-04-14,7th,hcys,"Mark of Megan","sdc1_hcys-Mark_of_Megan.ZIP"
1,2006-04-14,8th,Aged,"end of life","sdc1_aged-end_of_life.rar"
1,2006-04-14,9th,Sagosen,"Enok","sdc1_the_khin-Enok.zip"
1,2006-04-14,10th,teajay,"Just for the spirit","sdc1_teajay-for_the_spirit.zip"
1,2006-04-14,11th,fr0gr0ck,"MicroDrive-#060326-","sdc1_fr0gr0ck-MicroDrive.zip"
1,2006-04-14,12th,satobox,"Chyura-Chyura","sdc1_satobox-Chyura-Chyura.rar"
1,2006-04-14,13th,organic_io,"burning pcboard","sdc1_dj_io-burning_green.rar"
1,2006-04-14,13th,RobWilliamsJnr,"Your Hollow Heart","sdc1-RobWilliamsJnr-YourHollowHeart.rar"
1,2006-04-14,14th,goatboy,"Filling Time","sdc1_Goatboy_Filling_Time.zip"
1,2006-04-14,AV,Yuta,"From The Far East","sdc1_Yuta-From_The_Far_East.RAR"
2,2006-05-04,1st,ruthlinde,"'85 Ninja Get-together","sdc2_Ruth_Linde-ninja_gettogether.zip"
2,2006-05-04,2nd,Mickrip,"Actions and Words","sdc2_Mick_Rippon-Actions_and_Words.rar"
2,2006-05-04,3rd,groovyone,"DeBUT","SDCompo2_groovyone_Debut.rar"
2,2006-05-04,4th,Sonicade,"Digital Intervention","sdc2_Sonicade-Digital_Intervention.rar"
2,2006-05-04,5th,dj_status,"Terror of Love","DJStatus-Terror_of_Love.rar"
2,2006-05-04,6th,Aged,"i sent it back","sdc2_aged-i_sent_it_back.rar"
2,2006-05-04,7th,Chotoro,"Raging Pneumaniac","sdc2_chotoro-Raging_Pneumaniac.zip"
2,2006-05-04,8th,teajay,"Once upon again","sdc2_teajay_oua.zip"
2,2006-05-04,9th,RobWilliamsJnr,"Closing Time (Will you be there?)","sdc2_RobWilliamsJnr-ClosingTime.zip"
2,2006-05-04,10th,fr0gr0ck,"HackT0TheFUTURE","sdc2_fr0gr0ck_HackT0TheFUTURE.rar"
2,2006-05-04,10th,Teagan,"Aggrandizer","sdc2_Teagan-Agrdzr.zip"
2,2006-05-04,11th,organic_io,"stark contrast","sdcround2_djio-stark_contrast.rar"
3,2006-05-27,1st,groovyone,"80's State Of Mind","sdc03-groovyone-80s-state-of-mind.rar"
3,2006-05-27,2nd,Mickrip,"Lingo Rollercoaster","sdc3_MickRip-LingoRollercoaster.rar"
3,2006-05-27,3rd,Harmony,"Dreamer","sdc3_Harmony-Dreamer.zip"
3,2006-05-27,4th,Sonicade,"The Break of Dawn","sdc3_Sonicade-The_Break_Of_Dawn.rar"
3,2006-05-27,5th,overthruster,"itsukigoshi","sdc03_OVERTHRUSTER_itskukigoshi.zip"
3,2006-05-27,6th,Aged,"grotesk party","sdc3_aged-grotesk-party.rar"
3,2006-05-27,7th,Chotoro,"First permutation","sdc03_Chotoro-First_permutation.zip"
3,2006-05-27,8th,dj_status,"eBallad","sdc3_DJStatus-eBallad.rar"
3,2006-05-27,9th,RobWilliamsJnr,"Careful Where You Land","sdc3_RobWilliamsJnr_CarefulWhereYouLand.rar"
3,2006-05-27,10th,dilvie,"Detour","sdcROUND3_Dilvie-Detour.zip"
